Frame,Time,Arena 1 ROI 1 Mean,Arena 1 ROI 1 Sum,Arena 1 ROI 2 Mean,Arena 1 ROI 2 Sum,Arena 1 ROI 3 Mean,Arena 1 ROI 3 Sum
1873,62.43333333333333,182.7404435187454,8949165,195.8557547107872,8949237,207.72355188274733,7993410
1874,62.46666666666667,182.80311198235728,8952234,195.97071761538967,8954490,207.80720355500117,7996629
1875,62.5,182.8432369517275,8954199,195.9444553870396,8953290,207.79847197318156,7996293
1876,62.53333333333333,182.93034795393285,8958465,195.993171820629,8955516,207.9442582053481,8001903
1877,62.56666666666667,182.766846361186,8950458,195.89370363075307,8950971,207.78139861230218,7995636
1878,62.6,182.8730090664053,8955657,196.04615586632525,8957937,207.94090590161377,8001774
1879,62.63333333333333,182.82443028669445,8953278,195.9229860153634,8952309,207.84680751539722,7998153
1880,62.666666666666664,182.85291595197256,8954673,196.00551506795352,8956080,207.82287362594528,7997232
1881,62.7,182.80445969125213,8952300,195.9049963889436,8951487,207.76611834411787,7995048
1882,62.733333333333334,182.92691742220043,8958297,195.99034863108136,8955387,207.80572230451392,7996572
1883,62.766666666666666,182.81462876745897,8952798,195.88694110695292,8950662,207.7690808450924,7995162
1884,62.8,182.8580617495712,8954925,195.9745912940713,8954667,207.8613081780619,7998711
1885,62.833333333333336,182.75134770889488,8949699,195.86428993500098,8949627,207.75473610353163,7994610
1886,62.86666666666667,182.8668218573879,8955354,196.01549471472654,8956536,207.77734466360022,7995480
1887,62.9,182.73211222739525,8948757,195.91523865800013,8951955,207.83129336555703,7997556
1888,62.93333333333333,182.84562607204117,8954316,195.95784912349814,8953902,207.88025259218836,7999440
1889,62.96666666666667,182.70430041656456,8947395,195.85864355590573,8949369,207.71739299914245,7993173
1890,63.0,182.76880666503308,8950554,195.9246274046353,8952384,207.80104467139628,7996392
1891,63.03333333333333,182.7356040186229,8948928,195.8962641980172,8951088,207.8005769080845,7996374
1892,63.06666666666667,182.80452095074736,8952303,195.95226839997375,8953647,207.86458252124424,7998837
1893,63.1,182.69266111247242,8946825,195.81032105574158,8947161,207.75286505028456,7994538
1894,63.13333333333333,182.80666503308012,8952408,195.98207602915107,8955009,207.88079831605208,7999461
1895,63.166666666666664,182.77211467777505,8950716,195.88424922854705,8950539,207.7345443205738,7993833
1896,63.2,182.87778730703258,8955891,195.92541527148578,8952420,207.7809308489904,7995618
1897,63.233333333333334,182.73542024013722,8948919,195.8189875910971,8947557,207.69649957121698,7992369
1898,63.266666666666666,182.8390100465572,8953992,196.01319676974592,8956431,207.78786933811492,7995885
1899,63.3,182.7975373682921,8951961,195.9091983454796,8951679,207.7251890543385,7993473
1900,63.333333333333336,182.7920240137221,8951691,195.999474755433,8955804,207.853200280658,7998399
1901,63.36666666666667,182.70730213183043,8947542,195.87702711575076,8950209,207.72511109378655,7993470
1902,63.4,182.79980396961528,8952072,196.01976232683344,8956731,207.82131441490606,7997172
1903,63.43333333333333,182.79631217838764,8951901,195.93900597465694,8953041,207.78576440321197,7995804
